Latitude,Longitude,SkillRequired,StartTimeWindow,EndTimeWindow,StartDateWindow,EndDateWindow,Price
40.41822,-86.790279,1,8:00 AM,9:00 AM,1/1/2012,1/1/2012,100
40.417713,-86.857895,2,9:00 AM,10:00 AM,1/1/2012,1/1/2012,125
40.351105,-86.909451,3,1:00 PM,2:00 PM,1/1/2012,1/1/2012,150
40.424178,-86.78816,1,3:00 PM,4:00 PM,1/2/2012,1/2/2012,100
40.345842,-86.903347,2,5:00 PM,7:00 PM,1/2/2012,1/2/2012,125
40.438989,-86.827577,3,9:00 AM,5:00 PM,1/2/2012,1/2/2012,150
40.318618,-86.901543,1,9:00 AM,5:00 PM,1/3/2012,1/3/2012,100
40.420648,-87.03054,2,9:00 AM,5:00 PM,1/3/2012,1/3/2012,125
40.419743,-86.843689,3,9:00 AM,5:00 PM,1/3/2012,1/3/2012,150
40.421272,-86.756677,1,9:00 AM,5:00 PM,1/4/2012,1/4/2012,175
40.421272,-86.756677,2,8:00 AM,9:00 AM,1/4/2012,1/4/2012,200
40.416906,-86.838987,3,9:00 AM,10:00 AM,1/4/2012,1/4/2012,225
40.475848,-86.936158,1,1:00 PM,2:00 PM,1/5/2012,1/5/2012,100
40.303809,-86.618289,2,3:00 PM,4:00 PM,1/5/2012,1/6/2012,125
40.42271,-86.885826,3,5:00 PM,7:00 PM,1/5/2012,1/6/2012,150
40.403029,-86.732621,1,9:00 AM,5:00 PM,1/5/2012,1/7/2012,100
40.518784,-86.712986,2,9:00 AM,5:00 PM,1/5/2012,1/7/2012,125
40.518795,-86.712952,3,9:00 AM,5:00 PM,1/5/2012,1/7/2012,150
40.604992,-86.71029,1,9:00 AM,5:00 PM,1/7/2012,1/9/2012,100
40.529381,-86.925526,2,9:00 AM,5:00 PM,1/7/2012,1/9/2012,125
40.419542,-86.804592,3,8:00 AM,9:00 AM,1/7/2012,1/9/2012,150
40.414511,-86.799583,1,9:00 AM,10:00 AM,1/10/2012,1/12/2012,175
40.30498,-86.71039,2,1:00 PM,2:00 PM,1/10/2012,1/12/2012,200
40.518759,-86.709023,3,3:00 PM,4:00 PM,1/10/2012,1/12/2012,225
40.402512,-86.832781,1,5:00 PM,7:00 PM,1/1/2012,1/12/2012,100
40.518759,-86.708937,2,9:00 AM,5:00 PM,1/1/2012,1/12/2012,125
40.32682,-86.923908,3,9:00 AM,5:00 PM,1/1/2012,1/12/2012,150
40.605073,-86.712844,1,9:00 AM,5:00 PM,1/1/2012,1/12/2012,100
40.40271,-86.829407,2,9:00 AM,5:00 PM,1/1/2012,1/12/2012,125
40.409046,-86.900272,3,9:00 AM,5:00 PM,1/1/2012,1/12/2012,150
40.352796,-86.906071,1,8:00 AM,9:00 AM,1/1/2012,1/1/2012,100
40.439871,-86.961572,2,9:00 AM,10:00 AM,1/1/2012,1/1/2012,125
40.419015,-86.799262,3,1:00 PM,2:00 PM,1/1/2012,1/1/2012,150
40.529388,-86.926491,1,3:00 PM,4:00 PM,1/2/2012,1/2/2012,175
