2:5:9.273           Problem.Calculate   Starting calculation: Task Count = 300; Truck Count = 4; Iterations = 10000
2:5:12.641          Problem.Calculate   Resolving input to OSRM nodes
2:5:12.643          Problem.Calculate   Coordinate resolution complete!
2:13:52.399         FitnessImprovement  Iteration = 0; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 1; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 2; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 3; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 4; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 5; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 6; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 7; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 8; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 9; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 10; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 11; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 12; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 13; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 14; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 15; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 16; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 17; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 18; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 19; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 20; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 21; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 22; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 23; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 24; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 25; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 26; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 27; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 28; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 29; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 30; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 31; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 32; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 33; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 34; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 35; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 36; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 37; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 38; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 39; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 40; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 41; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 42; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 43; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 44; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 45; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 46; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 47; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 48; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 49; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 50; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 51; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 52; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 53; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 54; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 55; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 56; Fitness = 215368
